Calculating mean of R...
Mean: 0
Starting Matrix Factorization into 30 principal components...
Step 0 / 5000 (4): e = 14829517
Step 1 / 5000 (28): e = 299496
Step 2 / 5000 (23): e = 98556
Step 3 / 5000 (23): e = 52014
Step 4 / 5000 (24): e = 34436
Step 5 / 5000 (23): e = 25616
Step 6 / 5000 (23): e = 20352
Step 7 / 5000 (23): e = 16859
Step 8 / 5000 (23): e = 14380
Step 9 / 5000 (23): e = 12537
Step 10 / 5000 (22): e = 11122
Step 11 / 5000 (23): e = 10006
Step 12 / 5000 (23): e = 9108
Step 13 / 5000 (23): e = 8373
Step 14 / 5000 (23): e = 7761
Step 15 / 5000 (23): e = 7246
Step 16 / 5000 (23): e = 6806
Step 17 / 5000 (23): e = 6427
Step 18 / 5000 (23): e = 6097
Step 19 / 5000 (23): e = 5807
Step 20 / 5000 (25): e = 5551
Step 21 / 5000 (27): e = 5322
Step 22 / 5000 (23): e = 5117
Step 23 / 5000 (22): e = 4932
Step 24 / 5000 (24): e = 4765
Step 25 / 5000 (23): e = 4612
Step 26 / 5000 (23): e = 4473
Step 27 / 5000 (23): e = 4345
Step 28 / 5000 (23): e = 4227
Step 29 / 5000 (24): e = 4118
Step 30 / 5000 (24): e = 4017
Step 31 / 5000 (23): e = 3923
Step 32 / 5000 (23): e = 3835
Step 33 / 5000 (24): e = 3753
Step 34 / 5000 (24): e = 3677
Step 35 / 5000 (24): e = 3605
Step 36 / 5000 (25): e = 3538
Step 37 / 5000 (23): e = 3474
Step 38 / 5000 (23): e = 3415
Step 39 / 5000 (23): e = 3358
Step 40 / 5000 (23): e = 3305
Step 41 / 5000 (27): e = 3255
Step 42 / 5000 (23): e = 3207
Step 43 / 5000 (23): e = 3162
Step 44 / 5000 (23): e = 3119
Step 45 / 5000 (23): e = 3078
Step 46 / 5000 (23): e = 3039
Step 47 / 5000 (23): e = 3002
Step 48 / 5000 (23): e = 2967
Step 49 / 5000 (23): e = 2933
Step 50 / 5000 (23): e = 2901
Step 51 / 5000 (24): e = 2870
Step 52 / 5000 (24): e = 2841
Step 53 / 5000 (23): e = 2813
Step 54 / 5000 (23): e = 2786
Step 55 / 5000 (23): e = 2761
Step 56 / 5000 (23): e = 2736
Step 57 / 5000 (23): e = 2712
Step 58 / 5000 (23): e = 2690
Step 59 / 5000 (22): e = 2668
Step 60 / 5000 (23): e = 2647
Step 61 / 5000 (27): e = 2627
Step 62 / 5000 (23): e = 2608
Step 63 / 5000 (23): e = 2589
Step 64 / 5000 (23): e = 2571
Step 65 / 5000 (23): e = 2554
Step 66 / 5000 (23): e = 2537
Step 67 / 5000 (24): e = 2521
Step 68 / 5000 (23): e = 2506
Step 69 / 5000 (23): e = 2491
Step 70 / 5000 (23): e = 2476
Step 71 / 5000 (23): e = 2462
Step 72 / 5000 (23): e = 2449
Step 73 / 5000 (23): e = 2436
Step 74 / 5000 (23): e = 2423
Step 75 / 5000 (23): e = 2411
Step 76 / 5000 (23): e = 2399
Step 77 / 5000 (22): e = 2387
Step 78 / 5000 (23): e = 2376
Step 79 / 5000 (22): e = 2366
Step 80 / 5000 (23): e = 2355
Step 81 / 5000 (27): e = 2345
Step 82 / 5000 (23): e = 2335
Step 83 / 5000 (25): e = 2326
Step 84 / 5000 (24): e = 2316
Step 85 / 5000 (23): e = 2307
Step 86 / 5000 (23): e = 2298
Step 87 / 5000 (22): e = 2290
Step 88 / 5000 (23): e = 2282
Step 89 / 5000 (23): e = 2273
Step 90 / 5000 (23): e = 2266
Step 91 / 5000 (23): e = 2258
Step 92 / 5000 (23): e = 2250
Step 93 / 5000 (23): e = 2243
Step 94 / 5000 (22): e = 2236
Step 95 / 5000 (23): e = 2229
Step 96 / 5000 (22): e = 2222
Step 97 / 5000 (23): e = 2216
Step 98 / 5000 (23): e = 2209
Step 99 / 5000 (23): e = 2203
Step 100 / 5000 (25): e = 2197
Step 101 / 5000 (27): e = 2191
Step 102 / 5000 (23): e = 2185
Step 103 / 5000 (22): e = 2179
Step 104 / 5000 (23): e = 2174
Step 105 / 5000 (23): e = 2168
Step 106 / 5000 (23): e = 2163
Step 107 / 5000 (23): e = 2158
Step 108 / 5000 (23): e = 2153
Step 109 / 5000 (23): e = 2148
Step 110 / 5000 (22): e = 2143
Step 111 / 5000 (23): e = 2138
Step 112 / 5000 (22): e = 2133
Step 113 / 5000 (23): e = 2129
Step 114 / 5000 (22): e = 2124
Step 115 / 5000 (23): e = 2120
Step 116 / 5000 (25): e = 2115
Step 117 / 5000 (23): e = 2111
Step 118 / 5000 (23): e = 2107
Step 119 / 5000 (23): e = 2103
Step 120 / 5000 (23): e = 2099
Step 121 / 5000 (27): e = 2095
Step 122 / 5000 (23): e = 2091
Step 123 / 5000 (23): e = 2087
Step 124 / 5000 (23): e = 2083
Step 125 / 5000 (23): e = 2079
Step 126 / 5000 (23): e = 2076
Step 127 / 5000 (23): e = 2072
Step 128 / 5000 (22): e = 2069
Step 129 / 5000 (23): e = 2065
Step 130 / 5000 (23): e = 2062
Step 131 / 5000 (23): e = 2059
Step 132 / 5000 (25): e = 2055
Step 133 / 5000 (23): e = 2052
Step 134 / 5000 (23): e = 2049
Step 135 / 5000 (23): e = 2046
Step 136 / 5000 (23): e = 2043
Step 137 / 5000 (23): e = 2039
Step 138 / 5000 (23): e = 2036
Step 139 / 5000 (23): e = 2034
Step 140 / 5000 (22): e = 2031
Step 141 / 5000 (27): e = 2028
Step 142 / 5000 (23): e = 2025
Step 143 / 5000 (22): e = 2022
Step 144 / 5000 (23): e = 2019
Step 145 / 5000 (23): e = 2017
Step 146 / 5000 (23): e = 2014
Step 147 / 5000 (22): e = 2011
Step 148 / 5000 (25): e = 2009
Step 149 / 5000 (23): e = 2006
Step 150 / 5000 (23): e = 2004
Step 151 / 5000 (23): e = 2001
Step 152 / 5000 (23): e = 1999
Step 153 / 5000 (23): e = 1996
Step 154 / 5000 (23): e = 1994
Step 155 / 5000 (23): e = 1991
Step 156 / 5000 (23): e = 1989
Step 157 / 5000 (23): e = 1987
Step 158 / 5000 (23): e = 1984
Step 159 / 5000 (23): e = 1982
Step 160 / 5000 (23): e = 1980
Step 161 / 5000 (27): e = 1977
Step 162 / 5000 (23): e = 1975
