Calculating mean of R...
Mean: 0
Starting Matrix Factorization into 30 principal components...
Step 163 / 5000 (23): e = 1973
Step 164 / 5000 (25): e = 1971
Step 165 / 5000 (23): e = 1969
Step 166 / 5000 (23): e = 1967
Step 167 / 5000 (23): e = 1965
Step 168 / 5000 (22): e = 1962
Step 169 / 5000 (22): e = 1960
Step 170 / 5000 (23): e = 1958
Step 171 / 5000 (23): e = 1956
Step 172 / 5000 (23): e = 1954
Step 173 / 5000 (23): e = 1952
Step 174 / 5000 (22): e = 1951
Step 175 / 5000 (23): e = 1949
Step 176 / 5000 (23): e = 1947
Step 177 / 5000 (23): e = 1945
Step 178 / 5000 (23): e = 1943
Step 179 / 5000 (23): e = 1941
Step 180 / 5000 (25): e = 1939
Step 181 / 5000 (27): e = 1937
Step 182 / 5000 (23): e = 1936
Step 183 / 5000 (23): e = 1934
Step 184 / 5000 (22): e = 1932
Step 185 / 5000 (23): e = 1930
Step 186 / 5000 (22): e = 1929
Step 187 / 5000 (23): e = 1927
Step 188 / 5000 (23): e = 1925
Step 189 / 5000 (23): e = 1923
Step 190 / 5000 (23): e = 1922
Step 191 / 5000 (23): e = 1920
Step 192 / 5000 (23): e = 1918
Step 193 / 5000 (23): e = 1917
Step 194 / 5000 (23): e = 1915
Step 195 / 5000 (23): e = 1913
Step 196 / 5000 (24): e = 1912
Step 197 / 5000 (23): e = 1910
Step 198 / 5000 (23): e = 1909
Step 199 / 5000 (23): e = 1907
Step 200 / 5000 (23): e = 1906
Step 201 / 5000 (27): e = 1904
Step 202 / 5000 (23): e = 1902
Step 203 / 5000 (23): e = 1901
Step 204 / 5000 (23): e = 1899
Step 205 / 5000 (23): e = 1898
Step 206 / 5000 (23): e = 1896
Step 207 / 5000 (23): e = 1895
Step 208 / 5000 (23): e = 1893
Step 209 / 5000 (23): e = 1892
Step 210 / 5000 (23): e = 1890
Step 211 / 5000 (23): e = 1889
Step 212 / 5000 (24): e = 1888
Step 213 / 5000 (23): e = 1886
Step 214 / 5000 (22): e = 1885
Step 215 / 5000 (23): e = 1883
Step 216 / 5000 (22): e = 1882
Step 217 / 5000 (23): e = 1880
Step 218 / 5000 (23): e = 1879
Step 219 / 5000 (23): e = 1878
Step 220 / 5000 (23): e = 1876
Step 221 / 5000 (27): e = 1875
Step 222 / 5000 (23): e = 1874
Step 223 / 5000 (23): e = 1872
Step 224 / 5000 (23): e = 1871
Step 225 / 5000 (23): e = 1870
Step 226 / 5000 (23): e = 1868
Step 227 / 5000 (23): e = 1867
Step 228 / 5000 (24): e = 1866
Step 229 / 5000 (24): e = 1864
Step 230 / 5000 (23): e = 1863
Step 231 / 5000 (23): e = 1862
Step 232 / 5000 (23): e = 1860
Step 233 / 5000 (22): e = 1859
Step 234 / 5000 (23): e = 1858
Step 235 / 5000 (23): e = 1857
Step 236 / 5000 (23): e = 1855
Step 237 / 5000 (23): e = 1854
Step 238 / 5000 (23): e = 1853
Step 239 / 5000 (23): e = 1852
Step 240 / 5000 (23): e = 1850
Step 241 / 5000 (27): e = 1849
Step 242 / 5000 (23): e = 1848
Step 243 / 5000 (23): e = 1847
Step 244 / 5000 (23): e = 1845
Step 245 / 5000 (24): e = 1844
Step 246 / 5000 (23): e = 1843
Step 247 / 5000 (23): e = 1842
Step 248 / 5000 (23): e = 1841
Step 249 / 5000 (22): e = 1840
Step 250 / 5000 (23): e = 1838
Step 251 / 5000 (23): e = 1837
Step 252 / 5000 (23): e = 1836
Step 253 / 5000 (23): e = 1835
Step 254 / 5000 (23): e = 1834
Step 255 / 5000 (23): e = 1832
Step 256 / 5000 (23): e = 1831
Step 257 / 5000 (23): e = 1830
Step 258 / 5000 (23): e = 1829
Step 259 / 5000 (23): e = 1828
Step 260 / 5000 (23): e = 1827
Step 261 / 5000 (30): e = 1826
Step 262 / 5000 (24): e = 1824
Step 263 / 5000 (24): e = 1823
Step 264 / 5000 (24): e = 1822
Step 265 / 5000 (24): e = 1821
Step 266 / 5000 (23): e = 1820
Step 267 / 5000 (23): e = 1819
Step 268 / 5000 (23): e = 1818
Step 269 / 5000 (24): e = 1817
Step 270 / 5000 (24): e = 1816
Step 271 / 5000 (24): e = 1814
Step 272 / 5000 (24): e = 1813
Step 273 / 5000 (24): e = 1812
Step 274 / 5000 (24): e = 1811
Step 275 / 5000 (24): e = 1810
Step 276 / 5000 (26): e = 1809
Step 277 / 5000 (24): e = 1808
Step 278 / 5000 (24): e = 1807
Step 279 / 5000 (24): e = 1806
Step 280 / 5000 (24): e = 1805
